This list is in case you purchased this animation set to use in another engine or application. It is for Protof-Actress@BasicLocomotionAnimset.fbx

Animation List:

IdleNormal: 10-320
IdleLookAroundNormal: 330-560
IdleScratchNormal: 570-720
IdleScratchLookAroundNormal: 730-1120
IdleContraposto_A: 1130-1250
IdleContrapostoLookAround: 1260-1500
IdleScratchContraposto: 1510-1650
IdleCheckTimeContraposto_A: 1660-1940
IdleCheckTimeContraposto_B: 1950-2050
IdleContraposto_B: 2060-2250
IdleScratchLookAroundContraposto: 2260-2580
Turn90RightNormal: 2590-2640
Turn90LeftNormal: 2650-2700
Turn180RightNormal: 2710-2780
Turn180LeftNormal: 2790-2860
Turn90RightContraposto: 2870-2950
Turn90LeftContraposto: 2960-3040
Turn180RightContraposto: 3050-3140
Turn180LeftContraposto: 3150-3240
Turn90RightNormal_RM: 3250-3300
Turn90LeftNormal_RM: 3310-3360
Turn180RightNormal_RM: 3370-3440
Turn180LeftNormal_RM: 3450-3520
Turn90RightContraposto_RM: 3530-3610
Turn90LeftContraposto_RM: 3620-3700
Turn180RightContraposto_RM: 3710-3800
Turn180LeftContraposto_RM: 3810-3900
WalkNormal: 3910-3946
WalkUTurnLeft: 3960-4000
WalkUTurnRight: 4010-4050
WalkNormal_RM: 4060-4096
WalkUTurnLeft_RM: 4110-4150
WalkUTurnRight_RM: 4160-4200
WalkForward: 4210-4250
WalkBackwards: 4260-4300
WalkForwardLeft: 4310-4350
WalkBackwardsRight: 4360-4400
WalkForwardRight: 4410-4450
WalkBackwardsLeft: 4460-4500
WalkRight_A: 4510-4550
WalkLeft_A: 4560-4600
WalkRight_B: 4610-4650
WalkLeft_B: 4660-4700
WalkLeft_C: 4710-4750
WalkRight_C: 4760-4800
WalkForward_RM: 4810-4850
WalkBackwards_RM: 4860-4900
WalkForwardLeft_RM: 4910-4950
WalkBackwardsRight_RM: 4960-5000
WalkForwardRight_RM: 5010-5050
WalkBackwardsLeft_RM: 5060-5100
WalkRight_A_RM: 5110-5150
WalkLeft_A_RM: 5160-5200
WalkRight_B_RM: 5210-5250
WalkLeft_B_RM: 5260-5300
WalkLeft_C_RM: 5310-5350
WalkRight_C_RM: 5360-5400
JumpToApex: 5410-5430
WalkJumpRight: 5440-5460
WalkJumpLeft: 5470-5490
RunJumpRight: 5500-5515
RunJumpLeft: 5525-5540
WalkJumpRight_RM: 5550-5570
WalkJumpLeft_RM: 5580-5600
RunJumpRight_RM: 5610-5625
RunJumpLeft_RM: 5635-5650
Falling: 5660-5700
LandingLight: 5710-5730
LandingMedium: 5740-5765
LandingHeavy_A: 5775-5810
LandingHeavy_B: 5820-5855
PassOver1MeterObstacleLeft: 5865-5910
PassOver1MeterObstacleRight: 5920-5965
PassOver1MeterObstacleLeft_RM: 5975-6020
PassOver1MeterObstacleRight_RM: 6030-6075
StepOverRight: 6090-6120
StepOverLeft: 6130-6160
ClimbOver1Meter: 6170-6230
StepOverRight_RM: 6240-6270
StepOverLeft_RM: 6280-6310
ClimbOver1Meter_RM: 6320-6380
Jog: 6390-6414
RunUTurnLeft: 6425-6455
JogUTurnRight: 6465-6495
Run: 6505-6521
Sprint: 6535-6547
Jog_RM: 6560-6584
RunUTurnLeft_RM: 6595-6625
JogUTurnRight_RM: 6635-6665
Run_RM: 6675-6693
Sprint_RM: 6705-6717
RunForward: 6730-6750
RunBackwards: 6760-6780
RunForwardLeft: 6790-6810
RunBackwardsRight: 6820-6840
RunForwardRight: 6850-6870
RunBackardsLeft: 6880-6900
RunRight_A: 6910-6930
RunLeft_A: 6940-6960
RunRight_B: 6970-6985
RunLeft_B: 6995-7010
RunForward_RM: 7020-7040
RunBackwards_RM: 7050-7070
RunForwardLeft_RM: 7080-7100
RunBackwardsRight_RM: 7110-7130
RunForwardRight_RM: 7140-7160
RunBackardsLeft_RM: 7170-7190
RunRight_A_RM: 7200-7220
RunLeft_A_RM: 7230-7250
RunRight_B_RM: 7260-7275
RunLeft_B_RM: 7285-7300
IdleNormalToCrouchIdle: 7310-7385
IdleCrouch: 7395-7450
IdleLookAroundCrouch: 7460-7680
IdleScratchLookAround: 7690-8090
IdleCrouchToIdleNormal: 8100-8180
CrouchForward: 8190-8240
CrouchBackwards: 8250-8300
CrouchForwardLeft: 8310-8360
CrouchBackwardsRight: 8370-8420
CrouchForwardRight: 8430-8480
CrouchBackardsLeft: 8490-8540
CrouchLeft: 8550-8600
CrouchRight: 8610-8660
CrouchForward_RM: 8670-8720
CrouchBackwards_RM: 8730-8780
CrouchForwardLeft_RM: 8790-8840
CrouchBackwardsRight_RM: 8850-8900
CrouchForwardRight_RM: 8910-8960
CrouchBackardsLeft_RM: 8970-9020
CrouchLeft_RM: 9030-9080
CrouchRight_RM: 9090-9140
